Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-12-08,69666.3828125,69893.796875,69506.1171875,69825.6015625,69825.6015625,18200,^BSESN
2023-12-11,69925.6328125,70057.828125,69782.4765625,69928.53125,69928.53125,12400,^BSESN
2023-12-12,70020.6796875,70033.640625,69443.8515625,69551.03125,69551.03125,7000,^BSESN
2023-12-13,69648.5625,69657.9296875,69100.5625,69584.6015625,69584.6015625,7100,^BSESN
2023-12-14,70146.09375,70602.890625,70110.75,70514.203125,70514.203125,12200,^BSESN
2023-12-15,70804.1328125,71605.7578125,70655.96875,71483.75,71483.75,25100,^BSESN
2023-12-18,71437.3515625,71552.2421875,71142.2890625,71315.09375,71315.09375,12500,^BSESN
2023-12-19,71479.28125,71623.7109375,71071.9765625,71437.1875,71437.1875,8600,^BSESN
2023-12-20,71647.65625,71913.0703125,70302.6015625,70506.3125,70506.3125,13200,^BSESN
2023-12-21,69920.890625,70958.7109375,69920.390625,70865.1015625,70865.1015625,8800,^BSESN
2023-12-22,71045.6484375,71259.546875,70713.5625,71106.9609375,71106.9609375,15300,^BSESN
2023-12-26,71097.78125,71471.2890625,71012.078125,71336.796875,71336.796875,7700,^BSESN
2023-12-27,71492.0234375,72119.8515625,71473.6484375,72038.4296875,72038.4296875,9800,^BSESN
2023-12-28,72262.671875,72484.34375,72137.453125,72410.3828125,72410.3828125,7800,^BSESN
2023-12-29,72351.59375,72417.0078125,72082.640625,72240.2578125,72240.2578125,19800,^BSESN
2024-01-02,72332.8515625,72332.8515625,71613.7421875,71892.4765625,71892.4765625,300,^BSESN
2024-01-03,71832.6171875,71862.0,71303.96875,71356.6015625,71356.6015625,13600,^BSESN
2024-01-04,71678.9296875,71954.7890625,71546.6015625,71847.5703125,71847.5703125,8900,^BSESN
2024-01-05,72016.7109375,72156.4765625,71779.828125,72026.1484375,72026.1484375,14900,^BSESN
2024-01-08,72113.25,72181.7734375,71301.0390625,71355.21875,71355.21875,10900,^BSESN
2024-01-09,71770.90625,72035.46875,71307.2734375,71386.2109375,71386.2109375,9500,^BSESN
2024-01-10,71383.203125,71733.84375,71110.9765625,71657.7109375,71657.7109375,9400,^BSESN
2024-01-11,71907.75,71999.46875,71543.1875,71721.1796875,71721.1796875,7800,^BSESN
2024-01-12,72148.0703125,72720.9609375,71982.2890625,72568.453125,72568.453125,20400,^BSESN
2024-01-15,73049.8671875,73402.15625,72909.0,73327.9375,73327.9375,16000,^BSESN
2024-01-16,73331.953125,73427.59375,72960.2890625,73128.7734375,73128.7734375,11200,^BSESN
2024-01-17,71998.9296875,72484.796875,71429.296875,71500.7578125,71500.7578125,14100,^BSESN
2024-01-18,71018.859375,71451.2890625,70665.5,71186.859375,71186.859375,13000,^BSESN
2024-01-19,71786.7421875,71895.640625,71542.7421875,71683.2265625,71683.2265625,25500,^BSESN
2024-01-23,71868.203125,72039.203125,70234.546875,70370.546875,70370.546875,11400,^BSESN
2024-01-24,70165.4921875,71149.609375,70001.6015625,71060.3125,71060.3125,15600,^BSESN
2024-01-25,71022.1015625,71049.4609375,70319.0390625,70700.671875,70700.671875,36700,^BSESN
2024-01-29,70968.1015625,72010.21875,70880.5390625,71941.5703125,71941.5703125,13900,^BSESN
2024-01-30,72000.203125,72142.2265625,71075.71875,71139.8984375,71139.8984375,12900,^BSESN
2024-01-31,71073.0390625,71851.390625,70846.0390625,71752.109375,71752.109375,11000,^BSESN
2024-02-01,71998.78125,72151.0234375,71574.890625,71645.296875,71645.296875,11500,^BSESN
2024-02-02,71977.5625,73089.3984375,71948.7734375,72085.6328125,72085.6328125,19400,^BSESN
2024-02-05,72269.1171875,72385.9296875,71602.140625,71731.421875,71731.421875,19900,^BSESN
2024-02-06,71970.8203125,72261.3984375,71625.1796875,72186.09375,72186.09375,10500,^BSESN
2024-02-07,72548.5,72559.2109375,71938.21875,72152.0,72152.0,12800,^BSESN
2024-02-08,72473.421875,72473.421875,71230.6171875,71428.4296875,71428.4296875,14500,^BSESN
2024-02-09,71410.2890625,71676.4921875,71200.3125,71595.4921875,71595.4921875,19000,^BSESN
2024-02-12,71722.3125,71756.578125,70922.5703125,71072.4921875,71072.4921875,10700,^BSESN
2024-02-13,71292.078125,71662.7421875,70924.296875,71555.1875,71555.1875,8100,^BSESN
2024-02-14,71035.25,71938.59375,70809.84375,71822.828125,71822.828125,10700,^BSESN
2024-02-15,72061.46875,72164.96875,71644.4375,72050.3828125,72050.3828125,8200,^BSESN
2024-02-16,72406.0234375,72545.328125,72218.1015625,72426.640625,72426.640625,15200,^BSESN
2024-02-19,72627.6015625,72881.9296875,72308.6796875,72708.15625,72708.15625,0,^BSESN
2024-02-20,72727.8671875,73130.6875,72510.2421875,73057.3984375,73057.3984375,7700,^BSESN
2024-02-21,73267.4765625,73267.796875,72450.5625,72623.09375,72623.09375,13900,^BSESN
2024-02-22,72677.5078125,73256.390625,72081.359375,73158.2421875,73158.2421875,9100,^BSESN
2024-02-23,73394.4375,73413.9296875,73022.0,73142.796875,73142.796875,11900,^BSESN
2024-02-26,73044.8125,73092.2578125,72666.8203125,72790.1328125,72790.1328125,7900,^BSESN
2024-02-27,72723.53125,73161.296875,72660.1328125,73095.21875,73095.21875,8300,^BSESN
2024-02-28,73162.8203125,73223.109375,72222.2890625,72304.8828125,72304.8828125,6200,^BSESN
2024-02-29,72220.5703125,72730.0,72099.3203125,72500.296875,72500.296875,18600,^BSESN
2024-03-01,72606.3125,73819.2109375,72591.140625,73745.3515625,73745.3515625,20700,^BSESN
2024-03-04,73903.09375,73990.1328125,73747.0078125,73872.2890625,73872.2890625,14200,^BSESN
2024-03-05,73767.421875,73915.5390625,73412.25,73677.1328125,73677.1328125,21200,^BSESN
2024-03-06,73587.703125,74151.2734375,73321.4765625,74085.9921875,74085.9921875,13300,^BSESN
2024-03-07,74242.7421875,74245.171875,73921.4765625,74119.390625,74119.390625,16000,^BSESN
2023-07-12,14.819999694824219,14.819999694824219,13.510000228881836,13.539999961853027,13.539999961853027,0,^VIX
2023-07-13,13.4399995803833,13.609999656677246,13.119999885559082,13.609999656677246,13.609999656677246,0,^VIX
2023-07-14,13.720000267028809,13.760000228881836,13.220000267028809,13.34000015258789,13.34000015258789,0,^VIX
